Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
223,Neu5Aca2-3Galb1-3GalNAca-Sp8,148,36,24,4.125507675,0.012912447
393,GalNAca1-3(Fuca1-2)Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,147,35,24,4.229943131,0.012086336
245,Neu5Aca2-3Galb-Sp8,144,16,11,9.011662874,0.001442452
483,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,135,55,41,2.466565817,0.045169621
246,Neu5Aca2-3Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,124,60,48,2.080085041,0.064496044
600,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,96,33,34,2.949484384,0.030024785
238,Neu5Aca2-3Galb1-3(6S)GlcNAc-Sp8,92,14,15,6.7029754,0.003387586
250,Neu5Aca2-3Galb1-3GlcNAcb-Sp8,86,28,33,3.029518525,0.028166237
526,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana-Sp0,86,24,28,3.63263254,0.017963484
253,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,78,42,54,1.852594859,0.08050455
376,Neu5Aca2-3Galb1-4GlcNAcb1-3GalNAc-Sp14,74,23,31,3.268225799,0.023419843
294,Neu5Aca2-3Galb1-3GlcNAcb1-3Galb1-3GlcNAcb-Sp0       ,70,80,114,0.877016821,0.222519991
11,Neu5Acb-Sp8,70,25,36,2.779492044,0.034509949
282,Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,70,16,23,4.327342429,0.011376405
399,Neu5Aca2-3Galb1-3GlcNAcb1-3GalNAca-Sp14,69,62,90,1.116971864,0.172702007
326,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,67,17,25,4.033925869,0.013697743
249,Neu5Aca2-3Galb1-3GlcNAcb-Sp0,64,5,8,11.8934885,0.000639101
224,Neu5Aca2-3Galb1-3GalNAca-Sp14,61,20,33,3.058360781,0.027532026
244,Neu5Aca2-6(Neu5Aca2-3Galb1-3)GalNAca-Sp14,57,15,26,3.83092967,0.015670389
596,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,53,9,18,5.60638983,0.005607355
295,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,51,14,28,3.582543381,0.018609603
395,Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6(Gala1-3Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,51,9,17,5.754798605,0.005212503
491,Neu5Aca2-3Galb1-3GlcNAcb1-6GalNAca-Sp14,48,6,12,8.694932482,0.001600808
256,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb-Sp8,45,12,26,3.809393585,0.015900547
461,Neu5Aca2-3Galb1-4GlcNAcb1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,40,5,12,8.081107591,0.001979659
478,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana-Sp0,38,20,51,1.953968511,0.072853838
603,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,35,19,54,1.860878186,0.079845392
607,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,30,10,31,3.179647211,0.025053799
592,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,30,23,78,1.283228011,0.144779648
457,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,27,3,11,9.077141796,0.00141233
580,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,26,18,69,1.454896653,0.120846833
445,Fuca1-2Galb1-4 GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-2(Fuca1-2Galb1-4GlcNAcb1-4)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,25,11,44,2.254926492,0.054719033
441,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb-Sp8,25,8,30,3.297472549,0.022910113
420,Fuca1-2Galb1-4GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,24,20,82,1.221367919,0.154586667
559,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Mana1-4GlcNAcb1-4GlcNAc-Sp24,24,9,39,2.540004897,0.042339582
302,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4GlcNAc-Sp0,24,16,69,1.448403838,0.121670241
5,GalNAca-Sp15,23,16,72,1.390046153,0.129349621
463,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,23,16,68,1.464103465,0.119689617
327,Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,22,22,98,1.018677245,0.191675567
324,Galb1-3GlcNAcb1-2Mana1-6(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,22,15,69,1.445517304,0.122038262
459,Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,21,8,36,2.752085428,0.035309358
272,Neu5Aca2-6Galb1-4Glcb-Sp0,21,19,90,1.109225937,0.174127981
21,GlcNAcb1-6(GlcNAcb1-4)(GlcNAcb1-3)GlcNAc-Sp8,21,16,78,1.28686225,0.144223975
271,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,21,6,28,3.62489184,0.018061441
29,(3S)Galb1-3GalNAca-Sp8,21,16,77,1.301668826,0.141983013
121,Gala1-4Galb1-4GlcNAcb-Sp8,20,8,38,2.633439551,0.039047081
403,Gala1-4Galb1-3GlcNAcb1-2Mana1-6(Gala1-4Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,20,15,74,1.360293849,0.133463847
449,Fuca1-2Galb1-4GlcNAcb1-6(Fuca1-2Galb1-4GlcNAcb1-3)GalNAc-Sp14,20,14,68,1.474239,0.118429618
564,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,20,11,54,1.846970506,0.080955716
424,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-3GalNAc-Sp14,20,6,30,3.313387856,0.022638633
337,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-6(Neu5Aca2-3Galb1-3)GalNAc-Sp14,19,2,11,9.220243141,0.001349342
541,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,19,11,55,1.807175131,0.084232912
283,Neu5Gca2-3Galb1-4GlcNAcb-Sp0,19,7,37,2.692733273,0.03712091
28,(3S)Galb1-3(Fuca1-4)GlcNAcb-Sp8,19,10,53,1.893605914,0.077301658
23,6S(3S)Galb1-4GlcNAcb-Sp0,19,3,16,6.197510479,0.004231659
380,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glc-Sp0,18,2,13,7.569080068,0.002391516
587,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,18,13,73,1.370312177,0.13206309
216,Mana1-6(Mana1-3)Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,18,12,64,1.558199935,0.108534554
584,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,17,8,48,2.077898769,0.064630935
476,Galb1-3GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,17,8,46,2.193496071,0.057937287
394,Gala1-3Galb1-3GlcNAcb1-2Mana1-6(Gala1-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,17,8,47,2.148439621,0.060442887
355,(6S)GlcNAcb1-3Galb1-4GlcNAcb-Sp0,17,6,39,2.593501612,0.040414362
609,GlcNAcb1-3Fuca-Sp21,17,13,82,1.222837395,0.154345927
591,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,16,8,48,2.068546137,0.06521178
370,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,16,9,52,1.9162034,0.07560035
47,(6S)GlcNAcb-Sp8,16,24,145,0.689824536,0.269938308
439,Galb1-4Galb-Sp10,16,8,51,1.971631226,0.071609556
545,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,16,5,33,3.015282155,0.028486047
2,Glca-Sp8,16,5,34,2.979790746,0.029303419
378,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,16,9,57,1.744560388,0.089703837
236,Neu5Aca2-3GalNAca-Sp8,16,12,75,1.32459099,0.138585584
455,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,16,7,47,2.135962753,0.061159524
448,Galb1-4GlcNAcb1-2Mana-Sp0,15,7,43,2.330219246,0.051063695
473,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,15,5,32,3.124332259,0.026147581
129,Galb1-3(Fuca1-4)GlcNAc-Sp8 ,15,21,139,0.719974001,0.261782319
65,Fuca1-2Galb1-3GlcNAcb1-3Galb1-4Glcb-Sp8,15,18,125,0.802732112,0.24041818
60,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb-Sp8,14,3,20,5.117790036,0.007219434
430,Fuca1-3GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4Glc-Sp21,14,13,92,1.0829685,0.179048702
585,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,14,14,94,1.058911012,0.183676446
309,GlcNAcb1-3Man-Sp10,14,5,36,2.768930583,0.034815319
588,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,14,5,33,3.004828535,0.028723789
88,GlcNAcb1-3Galb1-3GalNAca-Sp8,14,7,49,2.026332408,0.067911758
349,Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,14,17,118,0.844568536,0.230189906
503,GalNAcb1-4(Fuca1-3)(6S)GlcNAcb-Sp8,14,10,76,1.323381351,0.138762715
144,Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp0,14,7,54,1.841999865,0.081356884
529,Neu5Aca2-3Galb1-3GalNAcb1-4Galb1-4Glcb-Sp0,14,10,76,1.321318277,0.139065367
138,Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,14,13,94,1.061107086,0.183249225
485,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-2)Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,14,9,64,1.56414836,0.107868968
288,Neu5Aca2-3Galb1-4GlcNAcb1-6(Galb1-3)GalNAca-Sp14,14,5,40,2.502158656,0.043769964
214,Mana1-2Mana1-2Mana1-6(Mana1-3)Mana-Sp9,13,11,81,1.228547135,0.153414163
328,"Neu5,9Ac2a2-3Galb1-4GlcNAcb-Sp0",13,3,19,5.263069175,0.006683058
308,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13,0,3,30.38579318,3.91506E-05
480,Neu5Aca2-6Galb1-4GlcNAcb1-6GalNAca-Sp14,13,7,51,1.960897568,0.072362704
407,Galb1-3GlcNAca1-6Galb1-4GlcNAcb-Sp0,13,5,39,2.58364728,0.040760767
346,Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,13,4,28,3.566849723,0.01881813
286,Neu5Gca2-6Galb1-4GlcNAcb-Sp0,13,8,59,1.706459627,0.093231671
222,Fuca1-2(6S)Galb1-4(6S)Glcb-Sp0,13,9,72,1.390454512,0.129294105
318,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13,3,25,3.986007045,0.01413321
515,(3S)GalNAcb1-4GlcNAc-Sp8 ,13,5,41,2.430671285,0.04663702
285,Neu5Gca2-6GalNAca-Sp0,13,10,76,1.316054173,0.139840767
38,(3S)Galb-Sp8,13,2,16,6.187146491,0.004251715
426,Fuca1-2Galb1-3GlcNAcb1-2Mana1-6(Fuca1-2Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,13,8,64,1.562135146,0.108093724
8,Rhaa-Sp8,13,16,124,0.809205121,0.238810568
55,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13,6,50,1.995514794,0.069966557
254,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,13,8,63,1.591720924,0.104842535
606,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13,5,43,2.316373646,0.051713162
119,Gala1-4(Fuca1-2)Galb1-4GlcNAcb-Sp8,13,7,57,1.750312099,0.089184628
450,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-6(Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-3)GalNAc-Sp14,12,7,60,1.677742601,0.095995116
572,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-3GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,12,6,47,2.107776622,0.062816152
470,Glca1-4Glca1-4Glca1-4Glcb-Sp10,12,6,49,2.046140177,0.066628689
468,Gala1-3(Fuca1-2)Galb1-3GalNAcb-Sp8,12,11,86,1.167280293,0.163719411
30,(3S)Galb1-3GlcNAcb-Sp0,12,4,35,2.898026367,0.03130132
575,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,12,4,35,2.833265686,0.03300585
406,Galb1-3GlcNAcb1-6Galb1-4GlcNAcb-Sp0,12,8,66,1.513144338,0.113726181
348,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3Manb1-4GlcNAcb1-4GlcNAc-Sp12,12,3,27,3.771273442,0.016318675
425,Gala1-3Galb1-3GlcNAcb1-3GalNAc-Sp14,12,14,118,0.844402433,0.230229758
396,Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,12,10,83,1.197682149,0.158520484
167,Galb1-4GlcNAcb1-6(Galb1-3)GalNAc-Sp14,12,8,70,1.43081505,0.123931574
568,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,12,15,122,0.820536828,0.23601839
469,Glca1-6Glca1-6Glca1-6Glcb-Sp10,12,7,57,1.747504661,0.089437626
581,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,12,14,113,0.885345429,0.220588199
329,"Neu5,9Ac2a2-3Galb1-3GlcNAcb-Sp0",12,5,39,2.576422983,0.041017045
436,Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-4(Galb1-4GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,12,5,44,2.265893439,0.054167378
547,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12,16,134,0.748084869,0.254356865
22,6S(3S)Galb1-4(6S)GlcNAcb-Sp0,12,4,36,2.790633107,0.034191424
146,Galb1-3Galb-Sp8,12,6,49,2.054866243,0.066072571
552,Neu5Gca2-8Neu5Gca2-3Galb1-4GlcNAc-Sp0,12,9,79,1.262615406,0.147973805
9,Neu5Aca-Sp8,12,11,96,1.040509795,0.187294239
3,Mana-Sp8,11,2,15,6.784606973,0.003272674
362,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAb-Sp20,11,3,27,3.67209592,0.017474503
293,Galb1-4GlcNAcb1-3Galb1-3GlcNAcb-Sp0,11,8,70,1.424710174,0.124727066
98,GalNAcb1-4GlcNAcb-Sp0,11,7,60,1.678595568,0.095911708
546,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp25,11,8,67,1.493738836,0.116046074
277,Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-3(Fuca1-4)GlcNAcb-Sp0,11,10,92,1.083581571,0.178932269
64,Fuca1-2Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glcb-Sp9,11,5,48,2.09600922,0.063523573
188,GlcNAcb1-4Galb1-4GlcNAcb-Sp8,11,4,37,2.666834478,0.037947434
