Chart Number,Glycan Name,Average RFU,StDev,% CV,t-value,p-value
225,GalNAcb1-4(Neu5Aca2-8Neu5Aca2-8Neu5Aca2-8Neu5Aca2-3)Galb1-4Glcb-Sp0,16,6,36,2.812078346,0.033588537
415,GalNAca1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp0,16,8,55,1.827597787,0.082532303
138,Neu5Aca2-6(Galb1-3)GlcNAcb1-4Galb1-4Glcb-Sp10,15,5,34,2.899817663,0.031255754
345,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,15,9,57,1.742891374,0.089855146
427,Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,15,11,73,1.362524523,0.133150591
580,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,15,13,83,1.202875438,0.157649304
241,Neu5Aca2-3Galb1-4(Neu5Aca2-3Galb1-3)GlcNAcb-Sp8,15,11,75,1.324746546,0.138562823
19,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3)GalNAca-Sp8,15,6,41,2.414234883,0.047328368
584,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,15,6,42,2.389468424,0.048393863
373,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,15,3,22,4.600767159,0.009651876
398,Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp12,15,9,60,1.679696635,0.095804161
552,Neu5Gca2-8Neu5Gca2-3Galb1-4GlcNAc-Sp0,15,9,58,1.727725058,0.091243536
541,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,15,8,57,1.762798659,0.088069261
476,Galb1-3GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,15,6,39,2.565959593,0.041391757
570,(3S)GlcAb1-3Galb1-4GlcNAcb1-2Mana-Sp0,14,13,88,1.136810557,0.169102457
515,(3S)GalNAcb1-4GlcNAc-Sp8 ,14,14,101,0.990272772,0.197521994
117,Gala1-3Galb1-4Glc-Sp10,14,14,101,0.988535069,0.197885079
374,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,14,8,54,1.851449906,0.080596157
23,6S(3S)Galb1-4GlcNAcb-Sp0,14,6,43,2.345372696,0.050364183
380,Galb1-3GalNAca1-3(Fuca1-2)Galb1-4Glc-Sp0,14,10,70,1.434970391,0.123393255
432,GlcNAcb1-2Mana1-6(GlcNAcb1-4)(GlcNAcb1-4(GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp21,14,6,42,2.401157489,0.047887376
59,Fuca1-2Galb1-3GalNAcb1-3Gala1-4Galb1-4Glcb-Sp9,14,19,139,0.71886416,0.262079033
183,GlcNAcb1-3Galb1-4GlcNAcb-Sp8,13,6,42,2.386023224,0.048544387
404,Gala1-4Galb1-4GlcNAcb1-2Mana1-6(Gala1-4Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,13,4,28,3.627974038,0.018022355
16,GlcNAcb-Sp0,13,3,23,4.301666718,0.011558202
9,Neu5Aca-Sp8,13,6,44,2.260186132,0.054453623
122,Gala1-4Galb1-4Glcb-Sp0,13,21,159,0.629802672,0.286761573
608,Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13,5,36,2.781543706,0.034451015
455,Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-6(Gala1-3(Fuca1-2)Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,13,3,19,5.185498333,0.006962721
282,Neu5Gca2-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,13,10,73,1.378859217,0.130880449
589,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,13,3,25,3.973354276,0.014251157
36,(3S)Galb1-4GlcNAcb-Sp0,13,6,42,2.369787815,0.049261445
43,(6S)Galb1-4Glcb-Sp8,13,10,76,1.319596955,0.139318417
591,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3)GalNAca-Sp14,13,3,24,4.10308221,0.013099261
155,Galb1-4(6S)Glcb-Sp0,13,9,68,1.477551717,0.118020944
516,(4S)GalNAcb-Sp10,13,4,32,3.170580085,0.025229077
489,Gala1-3Galb1-3GlcNAcb1-6GalNAca-Sp14,13,18,140,0.715852688,0.262885503
215,Mana1-6(Mana1-3)Mana1-6(Mana1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,13,12,97,1.034261752,0.188538187
261,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,13,6,49,2.020983297,0.068263251
8,Rhaa-Sp8,13,16,126,0.792661099,0.242937661
447,Galb1-4(Fuca1-3)GlcNAcb1-6GalNAc-Sp14,13,17,137,0.728856748,0.25941724
142,Galb1-3GalNAcb-Sp8,13,6,52,1.937605504,0.074029257
372,Gala1-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Gala1-3Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp20,12,2,17,5.976227249,0.00468844
592,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3GalNAca-Sp14,12,5,43,2.328058692,0.051164388
506,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb1-6GalNAca-Sp14,12,6,47,2.143737463,0.060711782
281,Neu5Gca2-3Galb1-3GlcNAcb-Sp0,12,6,52,1.938126862,0.073991465
448,Galb1-4GlcNAcb1-2Mana-Sp0,12,12,103,0.973359228,0.201082732
394,Gala1-3Galb1-3GlcNAcb1-2Mana1-6(Gala1-3Galb1-3GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAc-Sp19,12,6,47,2.124125309,0.061848837
114,Gala1-3Galb1-3GlcNAcb-Sp0,12,6,48,2.072031867,0.064994577
198,Glcb1-4Glcb-Sp8,12,8,71,1.412202993,0.126374087
184,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,12,8,69,1.45937715,0.120282159
446,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-4(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2)Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12,5,47,2.124456349,0.061829435
286,Neu5Gca2-6Galb1-4GlcNAcb-Sp0,12,4,34,2.959300781,0.029788718
342,GlcNAca1-4Galb1-4GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,12,3,23,4.258957885,0.011869006
131,Galb1-4GlcNAcb1-6GalNAca-Sp8,12,14,117,0.858298371,0.226916577
390,Fuca1-2Galb1-3GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb-Sp0,12,6,51,1.97222187,0.071568381
151,Galb1-4(Fuca1-3)GlcNAcb-Sp0,12,11,95,1.048534381,0.185708175
607,Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,12,10,90,1.110212663,0.173945686
297,(6S)Galb1-4(6S)GlcNAcb-Sp0,11,14,121,0.824114492,0.235142683
586,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,11,5,43,2.325755585,0.05127199
200,G-ol-Sp8,11,4,35,2.828360834,0.033139614
367,Neu5Aca2-6GlcNAcb1-4GlcNAcb1-4GlcNAc-Sp21,11,7,65,1.535598551,0.111105329
573,Neu5Aca2-8Neu5Aca2-3Galb1-3GalNAcb1-4(Neu5Aca2-3)Galb1-4Glc-Sp21,11,7,57,1.744267711,0.089730349
587,GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,11,7,61,1.64373512,0.099388338
18,GlcN(Gc)b-Sp8,11,6,52,1.932518041,0.074399229
188,GlcNAcb1-4Galb1-4GlcNAcb-Sp8,11,7,65,1.529222714,0.111842676
201,GlcAa-Sp8,11,7,64,1.570233915,0.107192729
57,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,11,10,87,1.152329598,0.166338906
473,Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-3(Fuca1-4)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp19,11,9,83,1.197797899,0.158501013
382,Galb1-3GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glcb-Sp0,11,9,85,1.177443749,0.161962453
582,Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAb1-2)Mana1-6(Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,11,8,72,1.398161288,0.128251157
54,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,11,6,52,1.915519867,0.075651166
250,Neu5Aca2-3Galb1-3GlcNAcb-Sp8,11,4,36,2.811295572,0.033610309
82,GalNAca1-3(Fuca1-2)Galb1-3GlcNAcb-Sp0,11,8,76,1.322537675,0.138886398
78,Fuca1-2Galb-Sp8,11,11,98,1.018303349,0.191751447
472,Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp24,11,7,61,1.642821687,0.099481328
402,GalNAca1-3GalNAcb1-3Gala1-4Galb1-4GlcNAcb-Sp0,11,7,65,1.534211327,0.111265299
303,GlcNAcb1-6(Galb1-4GlcNAcb1-3)Galb1-4GlcNAc-Sp0,11,11,100,0.995739974,0.19638374
240,Neu5Aca2-3Galb1-3(Fuca1-4)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,11,4,36,2.748157296,0.035425813
33,(3S)Galb1-4(Fuca1-3)GlcNAc-Sp8,11,6,52,1.92131892,0.075221309
109,Gala1-4(Gala1-3)Galb1-4GlcNAcb-Sp8,11,13,122,0.816331723,0.23705126
439,Galb1-4Galb-Sp10,11,6,58,1.731562899,0.090889903
353,Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,11,3,29,3.497297694,0.019779004
301,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,11,6,60,1.661440701,0.097605091
285,Neu5Gca2-6GalNAca-Sp0,11,7,67,1.487035459,0.11685948
73,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb-Sp0,10,9,83,1.19951478,0.158212499
495,Gala1-3Galb1-4GlcNAcb1-6GalNAca-Sp14,10,11,101,0.994530024,0.196635114
378,Neu5Aca2-3Galb1-4(Fuca1-3)GlcNAcb1-3GalNAca-Sp14,10,8,81,1.234205856,0.152496428
531,Galb1-4GlcNAcb1-2æMana1-6(GlcNAcb1-4)(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAc-Sp21,10,7,66,1.508691355,0.114253986
17,GlcNAcb-Sp8,10,11,105,0.949027205,0.20631043
488,Galb1-3GlcNAcb1-6GalNAca-Sp14,10,11,105,0.949678549,0.206168864
154,Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb1-3Galb1-4(Fuca1-3)GlcNAcb-Sp0,10,9,87,1.146609356,0.167352239
318,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(Neu5Aca2-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp12,10,5,53,1.891363722,0.077472891
561,GlcNAcb1-3Galb1-4GlcNAcb1-6(GlcNAcb1-3Galb1-3)GalNAca-Sp14,10,13,126,0.795684854,0.242178864
562,GalNAcb1-3GlcNAcb-Sp0 ,10,5,47,2.132319883,0.061370673
477,Neu5Aca2-6Galb1-4GlcNAcb1-6(Galb1-3GlcNAcb1-3)Galb1-4Glcb-Sp21,10,3,25,3.977906938,0.014208572
359,KDNa2-3Galb1-3GalNAca-Sp14,10,3,28,3.572399067,0.018744054
29,(3S)Galb1-3GalNAca-Sp8,10,3,32,3.147564852,0.025680992
458,Galb1-4GlcNAcb1-6(Galb1-4GlcNAcb1-2)Mana1-6(Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp19,10,5,52,1.906382061,0.076334348
554,Neu5Gca2-8Neu5Aca2-3Galb1-4GlcNAc-Sp0,10,6,62,1.60463869,0.103457332
544,Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-3Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp24,10,8,84,1.186722033,0.160375168
205,KDNa2-3Galb1-3GlcNAcb-Sp0,10,1,13,7.464383927,0.002489353
463,Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,10,6,59,1.689801525,0.094823517
454,GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-6(GalNAca1-3(Fuca1-2)Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,10,5,50,2.000056138,0.069659195
171,Galb1-4Glcb-Sp0,10,5,46,2.183899604,0.058460353
58,Fuca1-2Galb1-3GalNAcb1-3Gala-Sp9,10,11,108,0.921978403,0.212268895
420,Fuca1-2Galb1-4GlcNAcb1-2Mana1-6(Fuca1-2Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4(Fuca1-6)GlcNAcb-Sp22,10,5,52,1.908544769,0.076172006
465,Neu5Aca2-6Galb1-4GlcNAcb1-6(Neu5Aca2-6Galb1-4GlcNAcb1-2)Mana1-6(GlcNAcb1-4)(Neu5Aca2-6Galb1-4GlcNAcb1-2Mana1-3)Manb1-4GlcNAcb1-4GlcNAcb-Sp21,10,13,128,0.7798909,0.246164426
107,Gala1-3(Fuca1-2)Galb-Sp8,10,5,50,1.991573,0.070234637
245,Neu5Aca2-3Galb-Sp8,10,9,88,1.134979306,0.169431569
487,Neu5Aca2-6Galb1-4GlcNAcb1-6(Fuca1-2Galb1-4(Fuca1-3)GlcNAcb1-3)Galb1-4Glc-Sp21,10,2,18,5.637936704,0.005520227
